time;Tac;hs;u;Rg;Tsoil;
2019-01-13 02:00;9.04;50.87;2.153;0;12.04;
2019-01-13 03:00;9.04;51.21;2.62;0;12.04;
2019-01-13 04:00;7.96;52.03;1.876;0;10.96;
2019-01-13 05:00;8.84;53.18;1.762;0;11.84;
2019-01-13 06:00;9.31;53.52;1.324;0;12.31;
2019-01-13 07:00;9.52;53.86;3.114;0;12.52;
2019-01-13 08:00;9.45;51.89;3.757;0;12.45;
2019-01-13 09:00;9.52;53.18;3.794;0;12.52;
2019-01-13 10:00;9.71;52.5;3.254;10.05833333;19.71;
2019-01-13 11:00;10.19;52.09;2.942;67;25.19;
2019-01-13 12:00;12.15;52.01;3.502;191.5555556;32.15;
2019-01-13 13:00;13.02;48.81;3.501;296.1111111;33.02;
2019-01-13 14:00;12.74;45.42;3.837;319.1666667;32.74;
2019-01-13 15:00;13.47;42.43;2.801;275.5555556;33.47;
2019-01-13 16:00;14.76;45.47;3.117;308.6111111;34.76;
2019-01-13 17:00;13.74;42.62;2.979;214.7222222;28.74;
2019-01-13 18:00;12.53;50.09;2.508;66.5;18.53;
2019-01-13 19:00;12.2;51.39;2.458;3.555555556;17.2;
2019-01-13 20:00;12.01;52.01;2.176;0;16.01;
2019-01-13 21:00;12.08;52.69;2.81;0;15.08;
2019-01-13 22:00;12.48;49.57;2.774;0;15.48;
2019-01-13 23:00;12.48;52.08;1.795;0;15.48;
2019-01-14 00:00;12.75;50.31;1.678;0;15.75;
2019-01-14 01:00;12.21;54.72;3.069;0;15.21;
2019-01-14 02:00;11.87;55.87;2.97;0;14.87;
2019-01-14 03:00;12.14;50.38;2.811;0;15.14;
2019-01-14 04:00;11.94;46.04;4.371;0;14.94;
2019-01-14 05:00;11.6;47.19;4.887;0;14.6;
2019-01-14 06:00;12.08;50.99;5.008;0;15.08;
2019-01-14 07:00;11.2;51.4;4.659;0;14.2;
2019-01-14 08:00;11.26;52.42;4.025;0;14.26;
2019-01-14 09:00;11.47;50.45;3.235;0;14.47;
2019-01-14 10:00;12.62;48.48;2.762;13.74444444;22.62;
2019-01-14 11:00;12.82;41.02;2.462;101.6111111;27.82;
2019-01-14 12:00;14.37;38.5;1.838;278.3333333;34.37;
2019-01-14 13:00;15.16;33.88;2.146;399.7222222;35.16;
2019-01-14 14:00;15.23;34.97;2.332;402.7777778;35.23;
2019-01-14 15:00;15.49;28.18;2.054;426.6666667;35.49;
2019-01-14 16:00;15.76;35.5;2.477;365.2777778;35.76;
2019-01-14 17:00;14.81;35.64;2.534;246.3888889;29.81;
2019-01-14 18:00;13.47;39.17;1.793;94.88888889;19.47;
2019-01-14 19:00;12.33;37.96;1.595;4.130555556;17.33;
2019-01-14 20:00;11.47;37.84;1.342;0;15.47;
2019-01-14 21:00;10.25;39.67;0.211;0;13.25;
